game_id,away,home,away_rank,home_rank,away_score,home_score,date
401482947,UNC Wilmington,North Carolina,NA,1,56,69,2022-11-07
401497505,North Florida,Gonzaga,NA,2,63,104,2022-11-07
401489651,Northern Colorado,Houston,NA,3,36,83,2022-11-07
401494401,Howard,Kentucky,NA,4,63,95,2022-11-07
401483265,Mississippi Valley State,Baylor,NA,5,53,117,2022-11-07
401483275,Omaha,Kansas,NA,5,64,89,2022-11-07
401482906,Jacksonville,Duke,NA,7,44,71,2022-11-07
401483461,Sacramento State,UCLA,NA,8,50,76,2022-11-07
401485099,St. Thomas - Minnesota,Creighton,NA,9,60,72,2022-11-07
401489571,North Dakota State,Arkansas,NA,10,58,76,2022-11-07
401483235,Tennessee Tech,Tennessee,NA,11,43,75,2022-11-07
401483308,UTEP,Texas,NA,12,57,72,2022-11-07
401483344,Morehead State,Indiana,NA,13,53,88,2022-11-07
401483298,Arkansas-Pine Bluff,TCU,NA,14,72,73,2022-11-07
401483039,George Mason,Auburn,NA,15,52,70,2022-11-07
401484362,La Salle,Villanova,NA,16,68,81,2022-11-07
401494933,Nicholls,Arizona,NA,17,75,117,2022-11-07
401482983,North Carolina Central,Virginia,NA,18,61,73,2022-11-07
401491799,Cal State Fullerton,San Diego State,NA,19,57,80,2022-11-07
401488380,Longwood,Alabama,NA,20,54,75,2022-11-07
401492454,Florida A&M,Oregon,NA,21,45,80,2022-11-07
401483365,Purdue Fort Wayne,Michigan,NA,22,56,75,2022-11-07
401483337,Eastern Illinois,Illinois,NA,23,57,87,2022-11-07
401487612,Lindenwood,Dayton,NA,24,46,73,2022-11-07
401483319,Northwestern State,Texas Tech,NA,25,49,73,2022-11-07
401489751,Brescia University,Middle Tennessee,NA,NA,52,79,2022-11-07
401494597,Kansas Christian,Prairie View A&M,NA,NA,79,94,2022-11-07
401485025,Pacific,Stanford,NA,NA,78,88,2022-11-07
401489513,VALLEY FORGE,James Madison,NA,NA,38,123,2022-11-07
401489662,Johnson & Wales (NC),UNC Greensboro,NA,NA,60,93,2022-11-07
401487408,Harvard,Morehouse College,NA,NA,68,63,2022-11-07
401493663,Defiance,Oakland,NA,NA,27,92,2022-11-07
401493633,Milwaukee School of Engineering,Milwaukee,NA,NA,46,102,2022-11-07
401489690,Fisher College,UMass Lowell,NA,NA,43,108,2022-11-07
401486936,Coppin State,Charlotte,NA,NA,59,82,2022-11-07
401489550,Warren Wilson,Appalachian State,NA,NA,74,142,2022-11-07
401485101,New Orleans,Butler,NA,NA,53,89,2022-11-07
