game_id,away,home,away_rank,home_rank,away_score,home_score,date
401260006,Villanova,Boston College,3,NA,76,67,2020-11-25
401255645,Towson,Virginia,NA,4,54,89,2020-11-25
401263443,North Carolina Central,Iowa,NA,5,67,97,2020-11-25
401259032,Eastern Illinois,Wisconsin,NA,7,67,77,2020-11-25
401262371,North Carolina A&T,Illinois,NA,8,60,122,2020-11-25
401258857,Morehead State,Kentucky,NA,10,45,81,2020-11-25
401263445,Eastern Michigan,Michigan State,NA,13,67,83,2020-11-25
401259558,Northwestern State,Texas Tech,NA,14,58,101,2020-11-25
401265652,South Dakota State,West Virginia,NA,15,71,79,2020-11-25
401252794,Charleston,North Carolina,NA,16,60,79,2020-11-25
401257055,Lamar,Houston,NA,17,45,89,2020-11-25
401265033,Arizona State,Rhode Island,18,NA,94,88,2020-11-25
401254076,UT Rio Grande Valley,Texas,NA,19,55,91,2020-11-25
401262106,UCLA,San Diego State,22,NA,58,73,2020-11-25
401263457,Illinois State,Ohio State,NA,23,67,94,2020-11-25
401259563,Sacred Heart,Rutgers,NA,24,63,86,2020-11-25
401262142,Bowling Green,Michigan,NA,25,82,96,2020-11-25
401258999,Abilene Christian,East Tennessee State,NA,NA,70,47,2020-11-25
401264119,Florida College,South Florida,NA,NA,84,94,2020-11-25
401264600,Limestone,James Madison,NA,NA,55,89,2020-11-25
401262254,McNeese,Nebraska,NA,NA,55,102,2020-11-25
401259772,George Washington,Navy,NA,NA,71,78,2020-11-25
401259540,Radford,Virginia Tech,NA,NA,62,77,2020-11-25
401257607,Mount St. Mary's,Morgan St,NA,NA,62,55,2020-11-25
401257482,Oakland,Xavier,NA,NA,49,101,2020-11-25
401264409,Keene State,New Hampshire,NA,NA,54,93,2020-11-25
401262869,Florida National,Georgia Southern,NA,NA,65,97,2020-11-25
401262144,North Dakota,Miami (OH),NA,NA,67,81,2020-11-25
401258998,North Georgia,Mercer,NA,NA,48,79,2020-11-25
401257661,Prairie View A&M,Little Rock,NA,NA,66,71,2020-11-25
401265653,Lander,Chattanooga,NA,NA,63,99,2020-11-25
401262395,South Wesleyan,South Carolina Upstate,NA,NA,82,72,2020-11-25
401259878,Appalachian State,South Carolina State,NA,NA,81,61,2020-11-25
401259300,Old Dominion,Maryland,NA,NA,67,85,2020-11-25
401258910,Omaha,Austin Peay,NA,NA,66,72,2020-11-25
401255066,Fairfield,Providence,NA,NA,56,97,2020-11-25
401255047,Saint Mary's,Memphis,NA,NA,56,73,2020-11-25
401254049,Drake,Kansas State,NA,NA,80,70,2020-11-25
401264524,Nevada,North Dakota State,NA,NA,62,48,2020-11-25
401262085,Piedmont,The Citadel,NA,NA,64,89,2020-11-25
401257483,Bradley,Toledo,NA,NA,61,59,2020-11-25
401254696,Alcorn State,UAB,NA,NA,50,99,2020-11-25
401264550,Culver-Stockton,UM Kansas City,NA,NA,35,105,2020-11-25
401264406,San Francisco,UMass Lowell,NA,NA,68,76,2020-11-25
401264125,Tusculum,Furman,NA,NA,62,95,2020-11-25
401261581,UMBC,Georgetown,NA,NA,62,70,2020-11-25
401260341,Delaware State,Wake Forest,NA,NA,51,111,2020-11-25
401259241,Western Carolina,UNC Wilmington,NA,NA,98,76,2020-11-25
401258906,Oklahoma State,UT Arlington,NA,NA,75,68,2020-11-25
401257660,Evansville,Louisville,NA,NA,44,79,2020-11-25
401257450,Carver College,Kennesaw State,NA,NA,40,87,2020-11-25
401262064,Fairleigh Dickinson,Quinnipiac,NA,NA,66,84,2020-11-25
401254080,Western Kentucky,Northern Iowa,NA,NA,93,87,2020-11-25
401258893,Chicago State,Ohio,NA,NA,61,84,2020-11-25
401257632,UC Riverside,Pacific,NA,NA,60,66,2020-11-25
401262416,North Florida,Eastern Kentucky,NA,NA,67,80,2020-11-25
401262492,Ball State,Northern Kentucky,NA,NA,73,74,2020-11-25
401262139,William Jessup,Fresno State,NA,NA,47,87,2020-11-25
401260050,Western Michigan,Butler,NA,NA,62,66,2020-11-25
401259897,Liberty,Purdue,NA,NA,64,77,2020-11-25
401257619,Toccoa Falls,Wofford,NA,NA,49,88,2020-11-25
401264805,US Merchant Marine Academy,Army,NA,NA,32,93,2020-11-25
401262381,Oakwood,North Alabama,NA,NA,74,98,2020-11-25
401260377,UC Irvine,Pepperdine,NA,NA,72,86,2020-11-25
401265456,Flagler,Florida International,NA,NA,81,85,2020-11-25
401264556,SIU Edwardsville,Saint Louis,NA,NA,52,89,2020-11-25
401264461,California,Oregon State,NA,NA,63,71,2020-11-25
401264239,Westmont,CSU Northridge,NA,NA,79,97,2020-11-25
401264120,College of Coastal Georgia,Jacksonville,NA,NA,57,99,2020-11-25
401262547,Texas Permian Basin,UTEP,NA,NA,81,100,2020-11-25
401262478,Green Bay,Minnesota,NA,NA,69,99,2020-11-25
401262153,NC Wesleyan,Elon,NA,NA,52,82,2020-11-25
401261741,St. Andrews,VMI,NA,NA,63,90,2020-11-25
401261657,Florida Atlantic,South Alabama,NA,NA,66,68,2020-11-25
