game_id,date,team,opponent,half,jump_winner
401483470,2022-11-07,USC,Florida Gulf Coast,1,Florida Gulf Coast
401483479,2022-11-07,Utah,Long Island University,1,Utah
401484362,2022-11-07,Villanova,La Salle,1,Villanova
401484855,2022-11-07,Michigan State,Northern Arizona,1,Michigan State
401484860,2022-11-07,Furman,North Greenville,1,North Greenville
401485025,2022-11-07,Stanford,Pacific,1,Pacific
401485026,2022-11-07,Richmond,VMI,1,Richmond
401485098,2022-11-07,UConn,Stonehill,1,UConn
401485099,2022-11-07,Creighton,St. Thomas - Minnesota,1,St. Thomas - Minnesota
401485100,2022-11-07,Marquette,Radford,1,Marquette
401485101,2022-11-07,Butler,New Orleans,1,Butler
401485102,2022-11-07,St. John's,Merrimack,1,St. John's
401485103,2022-11-07,Xavier,Morgan State,1,Xavier
401485104,2022-11-07,DePaul,Loyola Maryland,1,Loyola Maryland
401485292,2022-11-07,Liberty,Regent University,1,Liberty
401485293,2022-11-07,Queens University,Marshall,1,Queens University
401485294,2022-11-07,Wichita State,Central Arkansas,1,Wichita State
401485389,2022-11-07,East Tennessee State,Emory & Henry,1,East Tennessee State
401485470,2022-11-07,Norfolk State,VU of Lynchburg,1,VU of Lynchburg
401486936,2022-11-07,Charlotte,Coppin State,1,Coppin State
401487103,2022-11-07,Pepperdine,Rice,1,Pepperdine
401487131,2022-11-07,UAB,Alabama State,1,UAB
401487275,2022-11-07,Bowling Green,Air Force,1,Bowling Green
401487288,2022-11-07,Colorado State,Gardner-Webb,1,Gardner-Webb
401487296,2022-11-07,UTSA,Trinity University (TX),1,UTSA
401487318,2022-11-07,Nevada,Utah Tech,1,Utah Tech
401487327,2022-11-07,Vermont,Brown,1,Vermont
401487352,2022-11-07,New Mexico,Southern Utah,1,New Mexico
401487363,2022-11-07,Fordham,Dartmouth,1,Fordham
401487388,2022-11-07,UNLV,Southern,1,UNLV
401487398,2022-11-07,Utah State,Utah Valley,1,Utah Valley
401487408,2022-11-07,Morehouse College,Harvard,1,Harvard
401487449,2022-11-07,Iona,Pennsylvania,1,Pennsylvania
401487469,2022-11-07,Yale,Sarah Lawrence,1,Yale
401487486,2022-11-07,UMass,Central Connecticut,1,UMass
401487516,2022-11-07,Loyola Chicago,Fairleigh Dickinson,1,Fairleigh Dickinson
401487516,2022-11-07,Loyola Chicago,Fairleigh Dickinson,3,Loyola Chicago
401487612,2022-11-07,Dayton,Lindenwood,1,Lindenwood
401487643,2022-11-07,George Washington,Virginia State,1,George Washington
401487662,2022-11-07,Rhode Island,Quinnipiac,1,Rhode Island
401487681,2022-11-07,Saint Louis,Murray State,1,Saint Louis
401487690,2022-11-07,St. Bonaventure,St. Francis (PA),1,St. Francis (PA)
401487702,2022-11-07,VCU,Manhattan,1,VCU
401487712,2022-11-07,UC San Diego,Seattle U,1,Seattle U
401487718,2022-11-07,William & Mary,Navy,1,Navy
401488142,2022-11-07,UC Santa Barbara,San Francisco State,1,UC Santa Barbara
401488190,2022-11-07,UC Irvine,Chapman University,1,UC Irvine
401488209,2022-11-07,California Baptist,Long Beach State,1,California Baptist
401488380,2022-11-07,Alabama,Longwood,1,Alabama
401488558,2022-11-07,Georgia Tech,Clayton State,1,Clayton State
401488666,2022-11-07,UCF,UNC Asheville,1,UNC Asheville
401488666,2022-11-07,UCF,UNC Asheville,3,UCF
401488666,2022-11-07,UCF,UNC Asheville,4,UNC Asheville
401488712,2022-11-07,Tulane,UMBC,1,Tulane
401488718,2022-11-07,South Florida,Southeast Missouri State,1,Southeast Missouri State
401488725,2022-11-07,SMU,Texas A&M-Commerce,1,SMU
401488780,2022-11-07,Santa Clara,Eastern Washington,1,Eastern Washington
401488786,2022-11-07,South Carolina Upstate,Brevard College,1,South Carolina Upstate
401488809,2022-11-07,Northern Kentucky,Kent State,1,Northern Kentucky
401488823,2022-11-07,Temple,Wagner,1,Wagner
401488823,2022-11-07,Temple,Wagner,3,Temple
401488826,2022-11-07,Denver,Idaho,1,Denver
401488998,2022-11-07,Belmont,Ohio,1,Belmont
401489004,2022-11-07,Bradley,Wisconsin Parkside,1,Bradley
401489012,2022-11-07,Saint Mary's,Oral Roberts,1,Saint Mary's
401489019,2022-11-07,Portland,Lewis & Clark,1,Lewis & Clark
401489045,2022-11-07,Loyola Marymount,Life Pacific,1,Life Pacific
401489050,2022-11-07,BYU,Idaho State,1,BYU
401489086,2022-11-07,Oklahoma State,UT Arlington,1,Oklahoma State
401489108,2022-11-07,Grand Canyon,Montana State,1,Grand Canyon
401489498,2022-11-07,Southern Miss,William Carey,1,Southern Miss
401489506,2022-11-07,Old Dominion,Maryland-Eastern Shore,1,Old Dominion
401489513,2022-11-07,James Madison,VALLEY FORGE,1,James Madison
401489520,2022-11-07,Georgia State,College of Coastal Georgia,1,Georgia State
401489542,2022-11-07,Arkansas State,Harding,1,Harding
401489550,2022-11-07,Appalachian State,Warren Wilson,1,Appalachian State
401489571,2022-11-07,Arkansas,North Dakota State,1,North Dakota State
401489576,2022-11-07,Incarnate Word,North Dakota,1,North Dakota
401489582,2022-11-07,Kansas City,Lincoln (MO),1,Kansas City
401489596,2022-11-07,Florida International,Houston Christian,1,Houston Christian
401489607,2022-11-07,Lamar,St. Thomas (TX),1,St. Thomas (TX)
401489611,2022-11-07,McNeese,Champion Christian College,1,McNeese
401489620,2022-11-07,Towson,Albany,1,Towson
401489631,2022-11-07,SE Louisiana,Loyola New Orleans,1,SE Louisiana
401489637,2022-11-07,Mississippi State,Texas A&M-Corpus Christi,1,Texas A&M-Corpus Christi
401489651,2022-11-07,Houston,Northern Colorado,1,Houston
401489662,2022-11-07,UNC Greensboro,Johnson & Wales (NC),1,UNC Greensboro
401489671,2022-11-07,Cincinnati,Chaminade,1,Cincinnati
401489690,2022-11-07,UMass Lowell,Fisher College,1,UMass Lowell
401489714,2022-11-07,Florida Atlantic,Lynn University,1,Florida Atlantic
401489751,2022-11-07,Middle Tennessee,Brescia University,1,Middle Tennessee
401490544,2022-11-07,Army,Keystone,1,Army
401491259,2022-11-07,Holy Cross,Siena,1,Holy Cross
401491278,2022-11-07,Buffalo,Colgate,1,Buffalo
401491655,2022-11-07,Bryant,Thomas,1,Thomas
401491665,2022-11-07,Saint Peter's,NJIT,1,Saint Peter's
401491703,2022-11-07,Campbell,St. Augustine,1,Campbell
401491709,2022-11-07,Charleston Southern,Toccoa Falls,1,Charleston Southern
401491722,2022-11-07,High Point,Pfeiffer,1,High Point
401491791,2022-11-07,Davidson,Guilford,1,Davidson
401491799,2022-11-07,San Diego State,Cal State Fullerton,1,San Diego State
401491811,2022-11-07,Charleston,Chattanooga,1,Charleston
401491815,2022-11-07,Delaware,Wilmington (DE),1,Wilmington (DE)
401491825,2022-11-07,Elon,Erskine,1,Elon
401491833,2022-11-07,Princeton,Hofstra,1,Princeton
401491837,2022-11-07,North Carolina A&T,Edward Waters,1,North Carolina A&T
401491839,2022-11-07,Boston University,Northeastern,1,Boston University
401491889,2022-11-07,Miami (OH),Evansville,1,Miami (OH)
401492095,2022-11-07,Washington State,Texas State,1,Texas State
401492099,2022-11-07,Washington,Weber State,1,Weber State
401492254,2022-11-07,Bucknell,Lebanon Valley,1,Lebanon Valley
401492306,2022-11-07,Grambling,North Texas-Dallas,1,Grambling
401492374,2022-11-07,Southern Illinois,Little Rock,1,Southern Illinois
401492424,2022-11-07,Indiana State,Green Bay,1,Green Bay
401492427,2022-11-07,Canisius,Youngstown State,1,Canisius
401492454,2022-11-07,Oregon,Florida A&M,1,Oregon
401492624,2022-11-07,Oregon State,Tulsa,1,Oregon State
401492630,2022-11-07,Louisiana,Centenary Louisiana,1,Louisiana
401493633,2022-11-07,Milwaukee,Milwaukee School of Engineering,1,Milwaukee
401493663,2022-11-07,Oakland,Defiance,1,Defiance
401493699,2022-11-07,Akron,South Dakota State,1,South Dakota State
401493699,2022-11-07,Akron,South Dakota State,3,South Dakota State
401493705,2022-11-07,Ball State,Earlham,1,Ball State
401493733,2022-11-07,Eastern Michigan,Wayne State (MI),1,Wayne State (MI)
401493741,2022-11-07,Northern Illinois,Illinois-Springfield,1,Northern Illinois
401493749,2022-11-07,Toledo,Valparaiso,1,Toledo
401493753,2022-11-07,Illinois State,Western Illinois,1,Illinois State
401493776,2022-11-07,Northern Iowa,Wartburg,1,Northern Iowa
401493777,2022-11-07,UIC,Trinity (IL),1,UIC
401493805,2022-11-07,SIU Edwardsville,Harris Stowe,1,Harris Stowe
401493820,2022-11-07,Tennessee State,Fisk,1,Tennessee State
401493931,2022-11-07,San Francisco,Texas Southern,1,Texas Southern
401493939,2022-11-07,Samford,Anderson (SC),1,Samford
401493949,2022-11-07,Troy,Montevallo,1,Troy
401493953,2022-11-07,Abilene Christian,Jackson State,1,Jackson State
401494382,2022-11-07,Cal State Northridge,La Sierra University,1,La Sierra University
401494401,2022-11-07,Kentucky,Howard,1,Howard
401494415,2022-11-07,Wyoming,Colorado Christian,1,Wyoming
401494593,2022-11-07,Louisiana Tech,Mississippi College,1,Louisiana Tech
401494597,2022-11-07,Prairie View A&M,Kansas Christian,1,Kansas Christian
401494750,2022-11-07,New Mexico State,New Mexico Highlands,1,New Mexico State
401494933,2022-11-07,Arizona,Nicholls,1,Nicholls
401496947,2022-11-07,New Hampshire,Brandeis,1,New Hampshire
401497494,2022-11-07,Cal Poly,Bethesda University,1,Bethesda University
401497505,2022-11-07,Gonzaga,North Florida,1,North Florida
401497514,2022-11-07,Presbyterian,Carolina University,1,Presbyterian
401497670,2022-11-07,Coastal Carolina,St. Mary's (MD),1,Coastal Carolina
401497711,2022-11-07,Cal State Bakersfield,San Diego Christian,1,San Diego Christian
401498237,2022-11-07,Stephen F. Austin,Le Tourneau,1,Stephen F. Austin
401498729,2022-11-07,San Diego,Sonoma State,1,Sonoma State
401499091,2022-11-07,Binghamton,Cazenovia College,1,Binghamton
401499435,2022-11-07,Eastern Kentucky,Miami (OH) - Middletown,1,Eastern Kentucky
401500363,2022-11-07,St. Francis Brooklyn,Mount St. Mary,1,Mount St. Mary
401500556,2022-11-07,Kennesaw State,LaGrange College,1,Kennesaw State
401500557,2022-11-07,North Alabama,Oakwood,1,North Alabama
401500558,2022-11-07,Jacksonville State,Shorter,1,Shorter
401501670,2022-11-07,North Texas,Southern Nazarene,1,Southern Nazarene
401501770,2022-11-07,Fresno State,Fresno Pacific,1,Fresno Pacific
401483216,2022-11-08,South Carolina,South Carolina State,1,South Carolina State
401483405,2022-11-08,Purdue,Milwaukee,1,Purdue
401485105,2022-11-08,Georgetown,Coppin State,1,Georgetown
401485105,2022-11-08,Georgetown,Coppin State,3,Georgetown
401485106,2022-11-08,Providence,Rider,1,Rider
401487618,2022-11-08,Duquesne,Montana,1,Duquesne
401489525,2022-11-08,San Jos̩ State,Georgia Southern,1,San Jos̩ State
401489644,2022-11-08,East Carolina,Mercer,1,Mercer
401492447,2022-11-08,Hartford,Sacred Heart,1,Hartford
401484869,2022-11-09,Seton Hall,Monmouth,1,Seton Hall
401485295,2022-11-09,Louisville,Bellarmine,1,Bellarmine
401485296,2022-11-09,San Diego,Florida Gulf Coast,1,Florida Gulf Coast
401485297,2022-11-09,South Dakota,Lipscomb,1,Lipscomb
401485461,2022-11-09,LSU,Kansas City,1,Kansas City
401485471,2022-11-09,Norfolk State,Cairn University,1,Norfolk State
401487517,2022-11-09,Fairleigh Dickinson,Mercy,1,Fairleigh Dickinson
401488199,2022-11-09,UC Davis,California Maritime,1,UC Davis
401488539,2022-11-09,Youngstown State,UT Martin,1,UT Martin
401489020,2022-11-09,Portland,Florida A&M,1,Florida A&M
401489060,2022-11-09,Utah Valley,Western Colorado,1,Utah Valley
401489100,2022-11-09,Seattle U,Puget Sound,1,Seattle U
401489109,2022-11-09,Grand Canyon,San Diego Christian,1,Grand Canyon
401489514,2022-11-09,James Madison,Hampton,1,James Madison
401490523,2022-11-09,Marist,American University,1,Marist
401491748,2022-11-09,Winthrop,Piedmont,1,Winthrop
401491792,2022-11-09,Wright State,Davidson,1,Davidson
401491792,2022-11-09,Wright State,Davidson,3,Wright State
401491792,2022-11-09,Wright State,Davidson,4,Davidson
401491886,2022-11-09,Drake,IUPUI,1,Drake
401493466,2022-11-09,Boise State,South Dakota State,1,South Dakota State
401493672,2022-11-09,Robert Morris,Pittsburgh - Greensburg,1,Robert Morris
401493771,2022-11-09,Missouri State,Missouri Science & Technology,1,Missouri Science & Technology
401494598,2022-11-09,Prairie View A&M,North American University,1,Prairie View A&M
401494606,2022-11-09,South Alabama,Mobile,1,South Alabama
401497564,2022-11-09,Howard,District of Columbia,1,District of Columbia
401498236,2022-11-09,Western Illinois,Rockford University,1,Western Illinois
401482955,2022-11-10,Notre Dame,Radford,1,Radford
401482992,2022-11-10,Virginia Tech,Lehigh,1,Lehigh
401483276,2022-11-10,Kansas,North Dakota State,1,Kansas
401483309,2022-11-10,Texas,Houston Christian,1,Houston Christian
401483320,2022-11-10,Texas Tech,Texas Southern,1,Texas Tech
401483345,2022-11-10,Indiana,Bethune-Cookman,1,Indiana
401483358,2022-11-10,Maryland,Western Carolina,1,Maryland
401483379,2022-11-10,Nebraska,Omaha,1,Omaha
401483392,2022-11-10,Ohio State,Charleston Southern,1,Charleston Southern
401483399,2022-11-10,Penn State,Loyola Maryland,1,Loyola Maryland
401483412,2022-11-10,Rutgers,Sacred Heart,1,Rutgers
401483432,2022-11-10,Arizona State,Northern Arizona,1,Arizona State
401485107,2022-11-10,Creighton,North Dakota,1,North Dakota
401485108,2022-11-10,Marquette,Central Michigan,1,Central Michigan
401487104,2022-11-10,Rice,St. Thomas (TX),1,Rice
401487328,2022-11-10,Brown,Colgate,1,Colgate
401487698,2022-11-10,UMass,Towson,1,Towson
401488792,2022-11-10,Cincinnati,Cleveland State,1,Cleveland State
401488810,2022-11-10,Kent State,Baldwin-Wallace College,1,Kent State
401488827,2022-11-10,Idaho,Walla Walla University,1,Idaho
401489013,2022-11-10,Saint Mary's,Vermont,1,Saint Mary's
401489046,2022-11-10,Loyola Marymount,UC Riverside,1,Loyola Marymount
401489093,2022-11-10,Southern Utah,La Verne,1,Southern Utah
401489490,2022-11-10,UL Monroe,Dallas Christian,1,UL Monroe
401489526,2022-11-10,Santa Clara,Georgia Southern,1,Georgia Southern
401489551,2022-11-10,Appalachian State,North Carolina Central,1,North Carolina Central
401489551,2022-11-10,Appalachian State,North Carolina Central,3,North Carolina Central
401489588,2022-11-10,Denver,Colorado College,1,Denver
401489627,2022-11-10,Northwestern State,Ouachita Baptist,1,Northwestern State
401489691,2022-11-10,Columbia,UMass Lowell,1,Columbia
401490463,2022-11-10,Delaware State,Immaculata,1,Delaware State
401491260,2022-11-10,Holy Cross,Dean,1,Dean
401491677,2022-11-10,Idaho State,Westcliff,1,Idaho State
401491716,2022-11-10,Stephen F. Austin,Gardner-Webb,1,Stephen F. Austin
401491734,2022-11-10,The Citadel,Presbyterian,1,Presbyterian
401491805,2022-11-10,Eastern Kentucky,Western Kentucky,1,Western Kentucky
401491863,2022-11-10,William & Mary,Mid-Atlantic Christian,1,Mid-Atlantic Christian
401491895,2022-11-10,Morehead State,Campbellsville-Harrodsburg,1,Morehead State
401492295,2022-11-10,Chattanooga,Oakland City,1,Oakland City
401492301,2022-11-10,Tennessee Tech,Tennessee Wesleyan,1,Tennessee Tech
401492375,2022-11-10,Oklahoma State,Southern Illinois,1,Oklahoma State
401492635,2022-11-10,Florida International,Florida National,1,Florida National
401493496,2022-11-10,Weber State,Western Colorado,1,Weber State
401493754,2022-11-10,Eastern Illinois,Illinois State,1,Eastern Illinois
401493781,2022-11-10,Merrimack,Clark (MA),1,Clark (MA)
401493795,2022-11-10,Lindenwood,Hannibal-LaGrange,1,Lindenwood
401493798,2022-11-10,Little Rock,Arkansas Baptist,1,Little Rock
401493932,2022-11-10,San Francisco,Cal Poly,1,San Francisco
401493940,2022-11-10,Samford,Spring Hill,1,Samford
401493950,2022-11-10,Troy,Mississippi University For Women,1,Troy
401494406,2022-11-10,Alabama A&M,North Alabama,1,North Alabama
401494416,2022-11-10,Wyoming,Nicholls,1,Wyoming
401494633,2022-11-10,Cornell,SUNY-Delhi,1,SUNY-Delhi
401496887,2022-11-10,Morgan State,Penn State-Alleghany,1,Penn State-Alleghany
401497498,2022-11-10,Texas State,Mid-America Christian,1,Texas State
401497502,2022-11-10,Tarleton,Kansas Christian,1,Kansas Christian
401497710,2022-11-10,VMI,Penn State-New Kensington,1,VMI
401499090,2022-11-10,Queens University,Clinton College,1,Queens University
401499511,2022-11-10,Sam Houston,Southwestern Adventist,1,Sam Houston
401499590,2022-11-10,Hartford,NVU-Lyndon,1,NVU-Lyndon
401500559,2022-11-10,Western Michigan,Goshen College,1,Western Michigan
401482890,2022-11-11,Boston College,Detroit Mercy,1,Boston College
401482898,2022-11-11,South Carolina,Clemson,1,South Carolina
401482907,2022-11-11,Duke,South Carolina Upstate,1,Duke
401482915,2022-11-11,UCF,Florida State,1,UCF
401482930,2022-11-11,Miami,UNC Greensboro,1,Miami
401482939,2022-11-11,NC State,Campbell,1,Campbell
401482948,2022-11-11,North Carolina,Charleston,1,Charleston
401482966,2022-11-11,Pittsburgh,West Virginia,1,West Virginia
401482984,2022-11-11,Virginia,Monmouth,1,Monmouth
401483000,2022-11-11,Wake Forest,Georgia,1,Georgia
401483031,2022-11-11,Florida,Kennesaw State,1,Florida
401483040,2022-11-11,Auburn,South Florida,1,Auburn
401483195,2022-11-11,Missouri,Pennsylvania,1,Missouri
401483207,2022-11-11,Ole Miss,Florida Atlantic,1,Ole Miss
401483237,2022-11-11,Texas A&M,Abilene Christian,1,Abilene Christian
401483248,2022-11-11,Vanderbilt,Southern Miss,1,Southern Miss
401483262,2022-11-11,Baylor,Norfolk State,1,Norfolk State
401483282,2022-11-11,California,Kansas State,1,Kansas State
401483291,2022-11-11,Oklahoma,Arkansas-Pine Bluff,1,Oklahoma
401483299,2022-11-11,TCU,Lamar,1,TCU
401483338,2022-11-11,Illinois,Kansas City,1,Illinois
401483353,2022-11-11,Iowa,North Carolina A&T,1,North Carolina A&T
401483366,2022-11-11,Michigan,Eastern Michigan,1,Michigan
401483372,2022-11-11,Minnesota,St. Francis Brooklyn,1,St. Francis Brooklyn
401483384,2022-11-11,Northwestern,Northern Illinois,1,Northern Illinois
401483406,2022-11-11,Purdue,Austin Peay,1,Purdue
401483421,2022-11-11,Wisconsin,Stanford,1,Wisconsin
401483453,2022-11-11,Grambling,Colorado,1,Colorado
401483462,2022-11-11,UCLA,Long Beach State,1,UCLA
401483480,2022-11-11,Utah,Cal State Bakersfield,1,Utah
401484363,2022-11-11,Temple,Villanova,1,Temple
401484527,2022-11-11,Gonzaga,Michigan State,1,Michigan State
401484861,2022-11-11,Furman,Belmont,1,Belmont
401485109,2022-11-11,UConn,Boston University,1,UConn
401485130,2022-11-11,Xavier,Montana,1,Xavier
401485131,2022-11-11,DePaul,Western Illinois,1,Western Illinois
401485298,2022-11-11,Alabama,Liberty,1,Alabama
401485299,2022-11-11,Central Arkansas,Hendrix College,1,Hendrix College
401486286,2022-11-11,Harvard,Louisiana,1,Louisiana
401487132,2022-11-11,Toledo,UAB,1,Toledo
401487276,2022-11-11,Air Force,Delaware,1,Air Force
401487289,2022-11-11,Colorado State,SE Louisiana,1,SE Louisiana
401487297,2022-11-11,Texas A&M-Corpus Christi,UTSA,1,UTSA
401487353,2022-11-11,New Mexico,South Alabama,1,New Mexico
401487364,2022-11-11,Dartmouth,Bryant,1,Dartmouth
401487399,2022-11-11,Utah State,Bradley,1,Utah State
401487470,2022-11-11,Eastern Washington,Yale,1,Eastern Washington
401487613,2022-11-11,Dayton,SMU,1,SMU
401487626,2022-11-11,Arkansas,Fordham,1,Fordham
401487636,2022-11-11,George Mason,Longwood,1,George Mason
401487644,2022-11-11,George Washington,Howard,1,Howard
401487659,2022-11-11,UIC,Loyola Chicago,1,UIC
401487669,2022-11-11,Richmond,Northern Iowa,1,Richmond
401487676,2022-11-11,Saint Joseph's,Houston,1,Saint Joseph's
401487711,2022-11-11,Navy,Princeton,1,Princeton
401488143,2022-11-11,UC Santa Barbara,Fresno State,1,UC Santa Barbara
401488191,2022-11-11,Oregon,UC Irvine,1,Oregon
401488713,2022-11-11,Tulane,McNeese,1,McNeese
401488801,2022-11-11,Coppin State,Mount St. Mary's,1,Coppin State
401489021,2022-11-11,Portland,Portland State,1,Portland State
401489051,2022-11-11,San Diego State,BYU,1,San Diego State
401489480,2022-11-11,California Baptist,NJIT,1,California Baptist
401489507,2022-11-11,Drexel,Old Dominion,1,Old Dominion
401489534,2022-11-11,Coastal Carolina,Methodist,1,Methodist
401489554,2022-11-11,St. Thomas - Minnesota,Chicago State,1,St. Thomas - Minnesota
401489645,2022-11-11,Mercer,Milligan,1,Mercer
401491661,2022-11-11,Maine,Maine-Fort Kent,1,Maine-Fort Kent
401491672,2022-11-11,New Hampshire,Fairfield,1,Fairfield
401491834,2022-11-11,Hofstra,Iona,1,Hofstra
401491841,2022-11-11,Stony Brook,Miami-Hamilton,1,Stony Brook
401491860,2022-11-11,UNC Wilmington,Allen University,1,UNC Wilmington
401491870,2022-11-11,Oral Roberts,John Brown,1,Oral Roberts
401492100,2022-11-11,Washington,North Florida,1,North Florida
401492625,2022-11-11,Oregon State,Florida A&M,1,Oregon State
401493492,2022-11-11,Northern Colorado,Texas A&M-Commerce,1,Northern Colorado
401493664,2022-11-11,Oakland,Bowling Green,1,Bowling Green
401493700,2022-11-11,Akron,Mississippi State,1,Mississippi State
401493835,2022-11-11,Arizona,Southern,1,Southern
401497509,2022-11-11,Kentucky,Duquesne,1,Kentucky
401500561,2022-11-11,Jacksonville,Johnson University (FL),1,Jacksonville
401482922,2022-11-12,Georgia State,Georgia Tech,1,Georgia Tech
401483413,2022-11-12,Rutgers,UMass Lowell,1,Rutgers
401485132,2022-11-12,Georgetown,Green Bay,1,Green Bay
401485133,2022-11-12,Seton Hall,Saint Peter's,1,Saint Peter's
401485134,2022-11-12,St. John's,Lafayette,1,St. John's
401485135,2022-11-12,Providence,Northeastern,1,Providence
401485300,2022-11-12,Lipscomb,Campbellsville-Harrodsburg,1,Lipscomb
401485301,2022-11-12,Morehead State,Bellarmine,1,Bellarmine
401485462,2022-11-12,LSU,Arkansas State,1,LSU
401487153,2022-11-12,UTEP,New Mexico State,1,New Mexico State
401487319,2022-11-12,Nevada,Grand Canyon,1,Nevada
401487365,2022-11-12,Dartmouth,Massachusetts College,1,Dartmouth
401487389,2022-11-12,UNLV,Incarnate Word,1,Incarnate Word
401487652,2022-11-12,La Salle,Wagner,1,La Salle
401487663,2022-11-12,Rhode Island,Texas State,1,Rhode Island
401487682,2022-11-12,Saint Louis,Evansville,1,Evansville
401487691,2022-11-12,Canisius,St. Bonaventure,1,Canisius
401487691,2022-11-12,Canisius,St. Bonaventure,3,St. Bonaventure
401487703,2022-11-12,VCU,Morgan State,1,VCU
401487713,2022-11-12,UC San Diego,Sacramento State,1,UC San Diego
401488200,2022-11-12,Loyola Marymount,UC Davis,1,Loyola Marymount
401488540,2022-11-12,UT Martin,Champion Christian College,1,UT Martin
401488701,2022-11-12,Louisville,Wright State,1,Louisville
401488793,2022-11-12,Ohio,Cleveland State,1,Cleveland State
401489061,2022-11-12,Utah Valley,Northern Arizona,1,Utah Valley
401489067,2022-11-12,Utah Tech,Cal State Northridge,1,Utah Tech
401489077,2022-11-12,UT Rio Grande Valley,Southwestern Adventist,1,UT Rio Grande Valley
401489087,2022-11-12,UT Arlington,Southwestern University (TX),1,UT Arlington
401489515,2022-11-12,Buffalo,James Madison,1,Buffalo
401489527,2022-11-12,Georgia Southern,Trinity Baptist College,1,Trinity Baptist College
401489616,2022-11-12,New Orleans,St. Francis Illinois,1,St. Francis Illinois
401489622,2022-11-12,Siena,Albany,1,Siena
401489628,2022-11-12,Northwestern State,Illinois State,1,Northwestern State
401489655,2022-11-12,East Carolina,Presbyterian,1,East Carolina
401489701,2022-11-12,High Point,Wofford,1,High Point
401489752,2022-11-12,Winthrop,Middle Tennessee,1,Middle Tennessee
401491650,2022-11-12,Marist,Binghamton,1,Marist
401491743,2022-11-12,UNC Asheville,Brevard College,1,UNC Asheville
401491806,2022-11-12,Western Kentucky,Kentucky State University,1,Western Kentucky
401492096,2022-11-12,Boise State,Washington State,1,Washington State
401492177,2022-11-12,Wichita State,Alcorn State,1,Alcorn State
